iter	Passed	Remaining
0	1466	1465436
1	2797	1395709
2	4127	1371599
3	5375	1338566
4	6671	1327588
5	7964	1319445
6	9290	1317987
7	10570	1310681
8	11808	1300213
9	13013	1288366
10	14274	1283432
11	15525	1278244
12	16793	1275024
13	18039	1270497
14	19343	1270230
15	20744	1275778
16	21963	1269980
17	23284	1270298
18	24573	1268765
19	25884	1268329
20	27127	1264661
21	28389	1262023
22	29640	1259084
23	30903	1256760
24	32229	1256947
25	33650	1260593
26	34908	1258005
27	36172	1255697
28	37465	1254450
29	39282	1270149
30	40612	1269471
31	41943	1268777
32	43293	1268640
33	44641	1268346
34	45994	1268138
35	47407	1269471
36	48707	1267712
37	49936	1264186
38	51209	1261853
39	52592	1262210
40	53947	1261841
41	55541	1266876
42	57011	1268839
43	58355	1267901
44	59703	1267041
45	61128	1267758
46	62527	1267842
47	63956	1268478
48	65278	1266931
49	66552	1264498
50	67982	1265015
51	69434	1265835
52	70840	1265778
53	72263	1265949
54	73825	1268460
55	75322	1269725
56	76821	1270930
57	78260	1271060
58	81238	1295692
59	82834	1297743
60	84373	1298796
61	85927	1300004
62	88427	1315186
63	90072	1317314
64	91669	1318624
65	93782	1327162
66	95545	1330511
67	97050	1330169
68	99180	1338219
69	100511	1335366
70	101962	1334124
71	103418	1332954
72	104932	1332502
73	106414	1331624
74	108030	1332372
75	111801	1359274
76	115548	1385084
77	118403	1399591
78	120078	1399907
79	121556	1397894
80	123108	1396753
81	124833	1397530
82	126288	1395256
83	127711	1392664
84	129136	1390116
